取引日,出金金額（円）,入金金額（円）,海外出金金額,通貨,変換レート（円）,利用国,取引内容,取引先,取引方法,支払い区分,利用者,取引番号
2025/06/17 23:48:52,"4,000",-,-,-,-,-,支払い,Appleサービス,PayPay残高,-,-,04733278432615317505
2025/06/17 23:48:52,-,20,-,-,-,-,ポイント、残高の獲得,Appleサービス,PayPayポイント,-,-,04733278432615317505
2025/06/17 14:05:56,525,-,-,-,-,-,支払い,マルエツ - 愛甲石田店,"PayPayポイント (17円), PayPay残高 (508円)",-,-,04732977991063027713
2025/06/17 14:05:56,-,2,-,-,-,-,ポイント、残高の獲得,マルエツ,PayPayポイント,-,-,04732977991063027713
2025/06/17 12:57:09,-,"2,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,02021794252507144206
2025/06/15 23:22:05,-,"10,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,02020631999997706250
2025/06/14 21:52:43,-,14,-,-,-,-,ポイント、残高の獲得,富士薬品グループ,PayPayポイント,-,-,04730992049724817414
2025/06/14 21:52:43,"2,929",-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,PayPay残高,-,-,04730992049724817414
2025/06/14 17:00:44,-,"5,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,02019693291945492484
2025/06/12 17:56:56,"1,054",-,-,-,-,-,支払い,マルエツ - 愛甲石田店,"PayPayポイント (6円), PayPay残高 (1,048円)",-,-,04729386195813122048
2025/06/12 17:56:56,-,5,-,-,-,-,ポイント、残高の獲得,マルエツ,PayPayポイント,-,-,04729386195813122048
2025/06/12 11:21:13,-,"2,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,02018033965689954306
2025/06/10 13:19:27,"1,100",-,-,-,-,-,送った金額,じ,PayPay残高,-,-,02016610553398419464
2025/06/09 17:54:53,117,-,-,-,-,-,支払い,マルエツ - 愛甲石田店,"PayPayポイント (28円), PayPay残高 (89円)",-,-,04727158628202422274
2025/06/09 17:53:05,-,"1,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,02016009412593516554
2025/06/08 21:48:19,-,6,-,-,-,-,ポイント、残高の獲得,富士薬品グループ,PayPayポイント,-,-,04726536759886848001
2025/06/08 21:48:19,"1,267",-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,PayPay残高,-,-,04726536759886848001
2025/06/08 19:31:32,-,"1,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,02015317991579262982
2025/06/07 21:57:20,-,2,-,-,-,-,ポイント、残高の獲得,ファミリーマート,PayPayポイント,-,-,04725799236693147653
2025/06/07 21:57:20,598,-,-,-,-,-,支払い,ファミリーマート - 愛甲石田駅前,PayPay残高,-,-,04725799236693147653
2025/06/07 21:21:50,-,1,-,-,-,-,ポイント、残高の獲得,タイトー,PayPayポイント,-,-,04725780940132417543
2025/06/07 21:21:50,200,-,-,-,-,-,支払い,タイトー - タイトーステーション海老名ビナウォーク店,PayPay残高,-,-,04725780940132417543
2025/06/07 21:19:52,200,-,-,-,-,-,支払い,タイトー - タイトーステーション海老名ビナウォーク店,PayPay残高,-,-,04725779926520659973
2025/06/07 21:19:51,-,1,-,-,-,-,ポイント、残高の獲得,タイトー,PayPayポイント,-,-,04725779926520659973
2025/06/07 21:19:20,100,-,-,-,-,-,支払い,タイトー - タイトーステーション海老名ビナウォーク店,PayPay残高,-,-,04725779660232327169
2025/06/07 15:29:33,-,46,-,-,-,-,ポイント、残高の獲得,伊勢原自動車学校,PayPayポイント,-,-,04725599374685396998
2025/06/07 15:29:33,"9,240",-,-,-,-,-,支払い,伊勢原自動車学校 - 伊勢原自動車学校,"PayPayポイント (14円), PayPay残高 (9,226円)",-,-,04725599374685396998
2025/06/07 15:27:57,-,"10,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,02014450279335313420
2025/06/06 23:09:51,-,"5,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,02013946161844510740
2025/06/05 10:50:29,800,-,-,-,-,-,支払い,Appleサービス,"PayPayポイント (72円), PayPay残高 (728円)",-,-,04723971212712919040
2025/06/05 10:50:29,-,3,-,-,-,-,ポイント、残高の獲得,Appleサービス,PayPayポイント,-,-,04723971212712919040
2025/05/31 21:47:46,"2,338",-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,"PayPayポイント (96円), PayPay残高 (2,242円)",-,-,04720599122215567363
2025/05/31 21:47:46,-,11,-,-,-,-,ポイント、残高の獲得,富士薬品グループ,PayPayポイント,-,-,04720599122215567363
2025/05/31 17:31:20,-,"3,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,02009318669589135368
2025/05/28 12:56:32,-,2,-,-,-,-,ポイント、残高の獲得,Amazonプライム会費,PayPayポイント,-,-,04718098798412775427
2025/05/28 12:56:30,600,-,-,-,-,-,支払い,Amazonプライム会費,"PayPayポイント (16円), PayPay残高 (584円)",-,-,04718098798412775427
2025/05/25 12:05:34,"2,750",-,-,-,-,-,支払い,Appleサービス,PayPay残高,-,-,04715846036526309378
2025/05/25 12:05:34,-,13,-,-,-,-,ポイント、残高の獲得,Appleサービス,PayPayポイント,-,-,04715846036526309378
2025/05/24 21:48:36,-,22,-,-,-,-,ポイント、残高の獲得,富士薬品グループ,PayPayポイント,-,-,04715404350679031813
2025/05/24 21:48:36,"4,476",-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,"PayPayポイント (14円), PayPay残高 (4,462円)",-,-,04715404350679031813
2025/05/24 16:17:24,-,"5,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,02004085380787519493
2025/05/21 12:58:50,-,5,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04712904799970205701
2025/05/21 12:58:50,"1,108",-,-,-,-,-,支払い,セブン-イレブン - 片柳学園,PayPay残高,-,-,04712904799970205701
2025/05/21 07:03:56,-,"2,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,02001573606603030530
2025/05/18 21:51:16,826,-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,PayPay残高,-,-,04710952711563878401
2025/05/18 21:51:16,-,4,-,-,-,-,ポイント、残高の獲得,富士薬品グループ,PayPayポイント,-,-,04710952711563878401
2025/05/18 16:45:21,-,"1,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,01999646764014231560
2025/05/17 11:12:11,-,5,-,-,-,-,ポイント、残高の獲得,Appleサービス,PayPayポイント,-,-,04709881151583059973
2025/05/17 11:12:11,"1,200",-,-,-,-,-,支払い,Appleサービス,"PayPayポイント (1円), PayPay残高 (1,199円)",-,-,04709881151583059973
2025/05/16 19:08:55,-,600,-,-,-,-,受け取った金額,しず音,PayPay残高,-,-,01998236408423710729
2025/05/16 18:45:50,754,-,-,-,-,-,支払い,マルエツ - 愛甲石田店,PayPay残高,-,-,04709372799254142988
2025/05/16 18:45:50,-,3,-,-,-,-,ポイント、残高の獲得,マルエツ,PayPayポイント,-,-,04709372799254142988
2025/05/16 18:16:45,"1,063",-,-,-,-,-,支払い,セブン-イレブン - 伊勢原石田,"PayPayポイント (3円), PayPay残高 (1,060円)",-,-,04709357809817927680
