取引日,出金金額（円）,入金金額（円）,海外出金金額,通貨,変換レート（円）,利用国,取引内容,取引先,取引方法,支払い区分,利用者,取引番号
2026/06/16 21:35:26,632,-,-,-,-,-,支払い,Steam,PayPay残高,-,-,05003359668642455552
2026/06/15 21:16:48,"4,620",-,-,-,-,-,支払い,ZOZOTOWN,PayPay残高,-,-,05002607894744137728
2026/06/15 21:16:25,-,"5,000",-,-,-,-,チャージ,PayPay,横浜銀行 *****13,-,-,02291459409223131145
2026/06/15 21:14:53,-,"4,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02291458618948534281
2026/06/13 21:40:53,"6,821",-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,PayPay残高,-,-,05001135966502117377
2026/06/13 21:01:44,-,"2,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02289967509382627329
2026/06/12 12:56:40,"1,309",-,-,-,-,-,支払い,イオンモール - イオンモール幕張新都心,PayPay残高,-,-,05000123608351268873
2026/06/11 18:38:15,"1,500",-,-,-,-,-,支払い,Steam,PayPay残高,-,-,04999557488711081989
2026/06/09 13:07:15,149,-,-,-,-,-,支払い,セブン-イレブン - 片柳学園,PayPay残高,-,-,04997902560503324674
2026/06/09 09:25:31,-,"1,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02286640000648044544
2026/06/08 22:22:50,-,12,-,-,-,-,ポイント、残高の獲得,SHEIN,PayPayポイント,-,-,04997446727033413637
2026/06/08 22:22:50,"1,352",-,-,-,-,-,支払い,SHEIN,PayPay残高,-,-,04997446727033413637
2026/06/08 15:41:01,590,-,-,-,-,-,支払い,Google,PayPay残高,-,-,04997239640889524224
2026/06/08 15:41:01,-,4,-,-,-,-,ポイント、残高の獲得,Google,PayPayポイント,-,-,04997239640889524224
2026/06/06 21:41:27,450,-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,PayPay残高,-,-,04995941057527824385
2026/06/06 21:41:26,-,4,-,-,-,-,ポイント、残高の獲得,富士薬品グループ,PayPayポイント,-,-,04995941057527824385
2026/06/06 18:21:29,-,"1,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02284689716128612352
2026/06/05 22:51:35,650,-,-,-,-,-,支払い,Google,PayPay残高,-,-,04995235042213101569
2026/06/05 22:51:35,-,6,-,-,-,-,ポイント、残高の獲得,Google,PayPayポイント,-,-,04995235042213101569
2026/06/05 22:33:09,-,6,-,-,-,-,ポイント、残高の獲得,Google,PayPayポイント,-,-,04995225533155434496
2026/06/05 22:33:09,650,-,-,-,-,-,支払い,Google,PayPay残高,-,-,04995225533155434496
2026/06/05 17:28:49,650,-,-,-,-,-,支払い,Google,PayPay残高,-,-,04995068689540161537
2026/06/05 17:28:49,-,6,-,-,-,-,ポイント、残高の獲得,Google,PayPayポイント,-,-,04995068689540161537
2026/06/05 12:51:39,-,8,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04994925830338011149
2026/06/05 12:51:39,835,-,-,-,-,-,支払い,セブン-イレブン - 片柳学園,PayPay残高,-,-,04994925830338011149
2026/06/05 08:45:50,-,"1,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02283650858028613635
2026/06/04 13:05:47,-,2,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04994190944253583368
2026/06/04 13:05:47,246,-,-,-,-,-,支払い,セブン-イレブン - 片柳学園,PayPay残高,-,-,04994190944253583368
2026/06/02 12:37:15,956,-,-,-,-,-,支払い,セブン-イレブン - 片柳学園,PayPay残高,-,-,04992691897588277259
2026/06/02 12:37:14,-,8,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04992691897588277259
2026/06/02 07:17:47,-,"1,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02281378966355738624
2026/05/31 21:13:09,-,"1,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02280325170359861261
